Time:200.0 Hz,Epoch,FP1,FP2,O1,O2,Event Id,Event Date,Event Duration
0.8800000000000007,44, -124.23, -126.53, -137.83, -193.18,,,
0.8850000000000007,44, -144.30, -140.07, -158.04, -223.52,,,
0.8900000000000007,44, -171.54, -175.92, -171.70, -226.31,,,
0.8950000000000007,44, -179.37, -177.32, -161.02, -216.40,,,
0.9000000000000007,45, -181.18, -187.29, -161.93, -216.73,,,
0.9050000000000007,45, -202.06, -204.04, -166.70, -220.95,,,
0.9100000000000007,45, -206.31, -210.45, -165.09, -222.06,,,
0.9150000000000007,45, -207.50, -212.70, -150.57, -212.03,,,
0.9200000000000007,46, -223.76, -229.70, -173.96, -224.82,,,
0.9250000000000007,46, -219.99, -226.15, -171.62, -218.93,,,
0.9300000000000007,46, -230.93, -236.36, -163.33, -218.24,,,
0.9350000000000007,46, -227.10, -236.49, -161.51, -218.25,,,
0.9400000000000007,47, -229.80, -237.98, -160.31, -220.20,,,
0.9450000000000007,47, -235.44, -232.70, -171.60, -226.17,,,
0.9500000000000007,47, -231.92, -233.96, -168.15, -219.42,,,
0.9550000000000007,47, -230.99, -239.11, -160.55, -215.97,,,
0.9600000000000007,48, -238.36, -245.53, -169.46, -232.52,,,
0.9650000000000007,48, -245.29, -247.91, -179.46, -226.32,,,
0.9700000000000008,48, -245.35, -250.64, -179.96, -228.27,,,
0.9750000000000008,48, -229.86, -235.81, -160.22, -218.30,,,
0.9800000000000008,49, -228.62, -236.51, -164.49, -219.48,,,
0.9850000000000008,49, -226.68, -234.88, -156.11, -212.23,,,
0.9900000000000008,49, -236.57, -247.68, -169.54, -221.80,,,
0.9950000000000008,49, -232.01, -243.50, -175.74, -224.35,,,
1.0000000000000007,50, -226.72, -238.72, -168.25, -215.45,,,
1.0050000000000006,50, -228.06, -237.08, -160.81, -213.16,,,
1.0100000000000005,50, -231.61, -240.76, -173.56, -219.09,,,
1.0150000000000003,50, -224.06, -236.47, -169.07, -219.41,,,
1.0200000000000002,51, -228.37, -232.36, -163.94, -213.84,,,
1.0250000000000001,51, -230.60, -232.40, -168.77, -218.85,,,
1.03,51, -218.51, -230.13, -160.04, -215.51,,,
1.035,51, -215.99, -226.99, -159.90, -215.88,,,
1.0399999999999998,52, -215.13, -223.71, -162.52, -220.75,,,
1.0449999999999997,52, -213.82, -227.61, -170.86, -220.41,,,
1.0499999999999996,52, -207.48, -218.32, -158.85, -210.53,,,
1.0549999999999995,52, -207.87, -218.25, -162.51, -217.45,,,
1.0599999999999994,53, -206.81, -216.26, -162.57, -217.13,,,
1.0649999999999993,53, -217.66, -224.29, -169.98, -221.66,,,
1.0699999999999992,53, -206.79, -213.41, -150.82, -208.12,,,
1.074999999999999,53, -208.91, -216.32, -146.54, -211.24,,,
1.079999999999999,54, -204.07, -213.42, -159.82, -219.50,,,
1.0849999999999989,54, -209.13, -216.79, -166.28, -228.07,,,
1.0899999999999987,54, -207.90, -211.29, -163.18, -220.49,,,
1.0949999999999986,54, -214.18, -218.96, -158.21, -222.24,,,
1.0999999999999985,55, -208.67, -211.43, -157.96, -216.38,,,
1.1049999999999984,55, -204.62, -212.85, -165.99, -215.60,,,
1.1099999999999983,55, -210.81, -219.29, -163.49, -217.04,,,
1.1149999999999982,55, -206.88, -215.85, -161.76, -218.67,,,
1.119999999999998,56, -200.58, -205.99, -158.77, -218.01,,,
1.124999999999998,56, -201.27, -208.00, -172.36, -221.97,,,
1.129999999999998,56, -193.35, -199.50, -151.64, -208.45,,,
1.1349999999999978,56, -188.82, -194.88, -161.79, -216.10,,,
1.1399999999999977,57, -192.44, -194.89, -159.94, -209.37,,,
1.1449999999999976,57, -193.88, -201.33, -161.82, -211.43,,,
1.1499999999999975,57, -197.19, -204.56, -158.02, -208.52,,,
1.1549999999999974,57, -189.87, -189.39, -155.84, -205.02,,,
1.1599999999999973,58, -193.40, -203.90, -162.77, -220.94,,,
1.1649999999999971,58, -189.28, -195.75, -160.70, -214.67,,,
1.169999999999997,58, -191.07, -196.47, -158.53, -212.06,,,
1.174999999999997,58, -180.72, -194.85, -151.22, -211.72,,,
1.1799999999999968,59, -190.69, -197.27, -154.60, -207.02,,,
1.1849999999999967,59, -185.56, -190.05, -157.12, -207.73,,,
1.1899999999999966,59, -199.15, -205.44, -151.85, -221.00,,,
1.1949999999999965,59, -192.87, -202.78, -153.88, -219.46,,,
1.1999999999999964,60, -194.61, -204.17, -169.40, -221.64,,,
1.2049999999999963,60, -192.58, -197.41, -155.48, -207.24,,,
1.2099999999999962,60, -197.46, -199.50, -161.47, -215.28,,,
1.214999999999996,60, -193.39, -198.12, -158.07, -211.67,,,
1.219999999999996,61, -186.56, -193.34, -160.14, -213.56,,,
1.2249999999999959,61, -190.18, -201.63, -157.63, -209.38,,,
1.2299999999999958,61, -186.16, -197.66, -155.63, -213.65,,,
1.2349999999999957,61, -183.98, -192.40, -154.20, -208.47,,,
1.2399999999999956,62, -189.12, -198.64, -154.29, -209.37,,,
1.2449999999999954,62, -185.49, -191.53, -153.06, -215.65,,,
1.2499999999999953,62, -216.38, -223.21, -174.62, -233.12,,,
1.2549999999999952,62, -180.81, -185.55, -143.58, -197.75,,,
1.2599999999999951,63, -192.27, -199.56, -172.70, -224.52,,,
1.264999999999995,63, -177.39, -188.23, -147.48, -199.82,,,
1.269999999999995,63, -171.61, -177.90, -135.06, -191.13,,,
1.2749999999999948,63, -212.97, -213.97, -175.52, -236.70,,,
1.2799999999999947,64, -200.27, -206.04, -166.07, -224.86,,,
1.2849999999999946,64, -183.67, -193.39, -151.51, -207.75,,,
1.2899999999999945,64, -203.52, -203.21, -177.58, -218.44,,,
1.2949999999999944,64, -198.90, -203.10, -178.51, -229.43,,,
1.2999999999999943,65, -195.78, -202.96, -160.26, -220.11,,,
1.3049999999999942,65, -227.34, -237.18, -200.01, -258.44,,,
1.309999999999994,65, -204.71, -217.14, -151.43, -202.02,,,
1.314999999999994,65, -203.91, -214.25, -166.62, -210.06,,,
1.3199999999999938,66, -176.68, -187.49, -169.14, -222.90,,,
1.3249999999999937,66, -217.79, -221.45, -197.78, -252.67,,,
1.3299999999999936,66, -170.04, -178.94, -152.01, -213.13,,,
1.3349999999999935,66, -165.53, -184.80, -162.78, -226.45,,,
1.3399999999999934,67, -161.25, -178.34, -175.67, -227.28,,,
1.3449999999999933,67, -148.23, -161.86, -145.88, -209.22,,,
1.3499999999999932,67, -158.87, -176.24, -160.68, -221.22,,,
1.354999999999993,67, -163.51, -179.62, -173.34, -233.52,,,
1.359999999999993,68, -168.56, -179.27, -155.01, -226.67,,,
1.3649999999999929,68, -198.19, -202.35, -168.42, -227.12,,,
1.3699999999999928,68, -196.22, -204.74, -156.80, -210.62,,,
1.3749999999999927,68, -199.24, -208.44, -146.97, -205.71,,,
1.3799999999999926,69, -204.83, -219.31, -164.81, -217.08,,,
1.3849999999999925,69, -213.05, -223.45, -165.37, -220.16,,,
1.3899999999999924,69, -203.72, -212.94, -154.63, -205.86,,,
1.3949999999999922,69, -204.98, -224.47, -155.29, -214.14,,,
1.3999999999999921,70, -217.29, -225.75, -156.11, -214.53,,,
1.404999999999992,70, -206.43, -217.15, -157.13, -216.04,,,
1.409999999999992,70, -221.26, -237.03, -171.23, -227.23,,,
1.4149999999999918,70, -199.95, -209.97, -158.07, -213.17,,,
1.4199999999999917,71, -198.40, -206.02, -163.02, -218.58,,,
1.4249999999999916,71, -197.06, -212.00, -151.85, -212.95,,,
1.4299999999999915,71, -200.23, -215.95, -165.86, -211.94,,,
1.4349999999999914,71, -182.03, -201.01, -160.16, -203.16,,,
1.4399999999999913,72, -195.68, -216.52, -160.87, -218.85,,,
1.4449999999999912,72, -190.47, -203.38, -157.49, -217.97,,,
1.449999999999991,72, -200.71, -206.08, -157.64, -217.68,,,
1.454999999999991,72, -182.99, -202.94, -132.95, -205.67,,,
1.4599999999999909,73, -188.40, -201.31, -150.11, -212.54,,,
1.4649999999999908,73, -192.88, -207.76, -162.62, -216.04,,,
1.4699999999999906,73, -181.31, -198.70, -155.72, -220.05,,,
1.4749999999999905,73, -189.81, -203.33, -163.29, -225.28,,,
1.4799999999999904,74, -188.10, -197.33, -170.66, -230.75,,,
1.4849999999999903,74, -179.96, -186.18, -160.52, -215.94,,,
1.4899999999999902,74, -179.78, -190.78, -156.60, -218.31,,,
1.4949999999999901,74, -170.14, -181.51, -146.39, -205.53,,,
1.49999999999999,75, -185.84, -196.59, -156.19, -213.00,,,
1.50499999999999,75, -182.14, -191.12, -160.87, -214.34,,,
1.5099999999999898,75, -165.97, -177.02, -158.36, -215.58,,,
1.5149999999999897,75, -168.64, -178.93, -121.95, -189.78,,,
1.5199999999999896,76, -170.89, -180.84, -139.74, -203.65,,,
1.5249999999999895,76, -188.00, -199.62, -157.18, -210.89,,,
1.5299999999999894,76, -192.48, -204.60, -156.37, -214.61,,,
1.5349999999999893,76, -173.46, -197.20, -157.00, -216.26,,,
1.5399999999999892,77, -176.36, -190.82, -159.62, -212.33,,,
1.544999999999989,77, -183.32, -183.76, -153.48, -210.16,,,
1.549999999999989,77, -178.97, -189.93, -141.58, -199.30,,,
1.5549999999999888,77, -182.16, -195.88, -141.50, -208.74,,,
1.5599999999999887,78, -179.68, -195.82, -154.32, -212.16,,,
1.5649999999999886,78, -175.98, -185.58, -153.11, -204.17,,,
1.5699999999999885,78, -176.44, -190.91, -150.30, -205.45,,,
1.5749999999999884,78, -171.84, -187.97, -150.20, -207.47,,,
1.5799999999999883,79, -172.28, -186.61, -137.15, -197.71,,,
1.5849999999999882,79, -178.92, -189.62, -143.41, -211.92,,,
1.589999999999988,79, -174.55, -187.01, -153.87, -208.30,,,
1.594999999999988,79, -176.22, -187.34, -149.64, -207.29,,,
1.5999999999999879,80, -169.93, -180.23, -148.31, -208.03,,,
1.6049999999999878,80, -171.35, -178.78, -143.21, -208.83,,,
1.6099999999999877,80, -180.31, -187.63, -144.03, -209.55,,,
1.6149999999999876,80, -174.08, -187.92, -138.77, -201.63,,,
1.6199999999999875,81, -171.71, -184.95, -135.61, -205.60,,,
1.6249999999999873,81, -175.28, -183.26, -159.07, -208.14,,,
1.6299999999999872,81, -176.52, -184.82, -168.17, -210.60,,,
1.6349999999999871,81, -171.25, -177.00, -158.99, -205.46,,,
1.639999999999987,82, -175.41, -188.72, -155.44, -207.28,,,
1.644999999999987,82, -172.30, -182.94, -147.38, -201.17,,,
1.6499999999999868,82, -179.54, -185.03, -146.25, -203.96,,,
1.6549999999999867,82, -186.67, -192.31, -168.42, -212.19,,,
1.6599999999999866,83, -173.58, -181.86, -142.31, -195.23,,,
1.6649999999999865,83, -170.83, -177.69, -140.85, -186.37,,,
1.6699999999999864,83, -174.04, -180.21, -146.59, -202.17,,,
1.6749999999999863,83, -183.63, -189.87, -160.77, -206.77,,,
1.6799999999999862,84, -177.80, -185.87, -150.59, -202.12,,,
1.684999999999986,84, -179.71, -181.16, -134.45, -194.23,,,
1.689999999999986,84, -184.76, -192.94, -138.81, -195.84,,,
1.6949999999999859,84, -177.03, -187.45, -120.42, -189.79,,,
1.6999999999999857,85, -170.77, -179.80, -97.65, -183.60,,,
1.7049999999999856,85, -180.73, -181.90, -172.20, -212.85,,,
1.7099999999999855,85, -181.34, -192.03, -162.58, -206.64,,,
1.7149999999999854,85, -181.29, -192.77, -144.00, -200.80,,,
1.7199999999999853,86, -193.05, -194.41, -144.75, -205.31,,,
1.7249999999999852,86, -184.20, -196.74, -140.88, -205.79,,,
1.729999999999985,86, -186.14, -195.15, -151.33, -206.30,,,
1.734999999999985,86, -180.27, -190.55, -149.44, -202.84,,,
1.739999999999985,87, -175.67, -185.53, -144.05, -196.63,,,
1.7449999999999848,87, -177.91, -190.57, -139.81, -180.32,,,
1.7499999999999847,87, -181.67, -190.62, -149.70, -198.69,,,
1.7549999999999846,87, -183.79, -193.97, -157.35, -214.89,,,
1.7599999999999845,88, -170.00, -179.15, -136.59, -198.81,,,
1.7649999999999844,88, -174.17, -180.08, -130.78, -196.02,,,
1.7699999999999843,88, -175.82, -184.87, -125.85, -197.20,,,
1.7749999999999841,88, -172.76, -184.19, -134.63, -203.54,,,
1.779999999999984,89, -177.05, -188.23, -160.18, -216.23,,,
1.784999999999984,89, -177.19, -182.10, -139.65, -201.32,,,
1.7899999999999838,89, -176.86, -180.29, -143.67, -201.57,,,
1.7949999999999837,89, -172.49, -182.09, -145.92, -204.11,,,
1.7999999999999836,90, -177.33, -186.02, -133.69, -196.67,,,
1.8049999999999835,90, -184.84, -185.24, -154.01, -208.74,,,
1.8099999999999834,90, -179.43, -186.56, -163.79, -218.08,,,
1.8149999999999833,90, -168.68, -179.23, -144.41, -206.07,,,
1.8199999999999832,91, -181.35, -186.03, -148.79, -211.72,,,
1.824999999999983,91, -178.56, -183.69, -146.83, -208.34,,,
1.829999999999983,91, -170.54, -177.18, -139.89, -199.93,,,
1.8349999999999829,91, -172.74, -177.39, -134.57, -193.06,,,
1.8399999999999828,92, -175.72, -175.73, -145.93, -191.37,,,
1.8449999999999827,92, -173.68, -182.17, -162.44, -206.88,,,
1.8499999999999825,92, -179.07, -187.07, -148.94, -205.62,,,
1.8549999999999824,92, -175.46, -182.20, -139.85, -199.38,,,
1.8599999999999823,93, -173.28, -182.53, -149.16, -197.64,,,
1.8649999999999822,93, -182.04, -185.49, -158.22, -214.88,,,
1.8699999999999821,93, -177.71, -184.23, -153.55, -213.08,,,
1.874999999999982,93, -180.63, -185.22, -151.23, -209.64,,,
1.879999999999982,94, -183.16, -188.86, -156.15, -214.84,,,
1.8849999999999818,94, -184.77, -190.53, -161.73, -219.45,,,
1.8899999999999817,94, -189.41, -193.19, -152.20, -214.11,,,
1.8949999999999816,94, -184.52, -192.13, -157.35, -217.16,,,
1.8999999999999815,95, -188.36, -191.36, -152.06, -212.16,,,
