Time (s);Identifier;Duration
270.744141;786;0.000000
272.748047;785;0.000000
273.753906;770;0.000000
275.009766;781;0.000000
278.763672;800;0.000000
282.193359;768;0.000000
282.193359;786;0.000000
284.199219;785;0.000000
285.203125;770;0.000000
286.458984;781;0.000000
290.214844;800;0.000000
292.494141;768;0.000000
292.494141;786;0.000000
294.498047;785;0.000000
295.503906;769;0.000000
296.759766;781;0.000000
300.513672;800;0.000000
302.458984;768;0.000000
302.458984;786;0.000000
304.464844;785;0.000000
305.468750;770;0.000000
306.724609;781;0.000000
310.478516;800;0.000000
312.593750;768;0.000000
312.593750;786;0.000000
314.599609;785;0.000000
315.603516;769;0.000000
316.859375;781;0.000000
320.613281;800;0.000000
322.724609;768;0.000000
322.724609;786;0.000000
324.728516;785;0.000000
325.734375;769;0.000000
326.988281;781;0.000000
330.744141;800;0.000000
333.148438;768;0.000000
333.148438;786;0.000000
335.154297;785;0.000000
336.158203;769;0.000000
337.414062;781;0.000000
341.169922;800;0.000000
343.798828;768;0.000000
343.798828;786;0.000000
345.804688;785;0.000000
346.808594;769;0.000000
348.064453;781;0.000000
351.818359;800;0.000000
354.689453;768;0.000000
354.689453;786;0.000000
356.693359;785;0.000000
357.699219;770;0.000000
358.953125;781;0.000000
362.708984;800;0.000000
366.128906;768;0.000000
366.128906;786;0.000000
368.134766;785;0.000000
369.138672;769;0.000000
370.394531;781;0.000000
374.148438;800;0.000000
376.974609;768;0.000000
376.974609;786;0.000000
378.978516;785;0.000000
379.984375;770;0.000000
381.238281;781;0.000000
384.994141;800;0.000000
387.968750;768;0.000000
387.968750;786;0.000000
389.974609;785;0.000000
390.978516;770;0.000000
392.234375;781;0.000000
395.988281;800;0.000000
397.984375;768;0.000000
397.984375;786;0.000000
399.988281;785;0.000000
400.994141;770;0.000000
402.248047;781;0.000000
406.003906;800;0.000000
409.279297;768;0.000000
409.279297;786;0.000000
411.283203;785;0.000000
412.289062;770;0.000000
413.544922;781;0.000000
417.298828;800;0.000000
420.443359;768;0.000000
420.443359;786;0.000000
422.449219;785;0.000000
423.453125;769;0.000000
424.708984;781;0.000000
428.464844;800;0.000000
431.474609;768;0.000000
431.474609;786;0.000000
433.478516;785;0.000000
434.484375;769;0.000000
435.738281;781;0.000000
439.494141;800;0.000000
441.949219;768;0.000000
441.949219;786;0.000000
443.953125;785;0.000000
444.958984;769;0.000000
446.214844;781;0.000000
449.968750;800;0.000000
453.138672;768;0.000000
453.138672;786;0.000000
455.144531;785;0.000000
456.148438;769;0.000000
457.404297;781;0.000000
461.158203;800;0.000000
463.203125;1010;0.000000
463.250000;33284;0.000000
